case_id,variant,label,role,p_min_mpa,p_max_mpa,xv_max,alpha_max,c_min_m_s,inventory_final,inventory_max,inventory_units,inventory_label,active_length_final_m,active_length_max_m,first_visible_time_s,visible_cell_count_max,visible_cell_count_final
Case D,hem,HEM instantaneous equilibrium,equilibrium upper-side comparison,2.1,3.127833710493951,0.023279464625384244,0.03069365680728217,689.0634165122656,121.92506822325318,121.92506822325318,kg vapor,vapor mass,700.0,706.25,0.02079176347201584,113,112
Case D,hne_tau050,HNE delayed relaxation tau=0.50 s,main comparison,2.1,3.1278319955819627,0.005617246236167574,0.007449164182939894,735.0303433472153,39.98029033967168,39.98029033967168,kg vapor,vapor mass,743.75,743.75,0.02079176347201584,119,119
Case D,dvcm_legacy,DVCM legacy cavity-volume proxy,legacy comparison only,2.1,3.127830874920127,0.0056157090178616444,0.0074471293955991405,750.0,0.04307711293441714,0.04307711293441714,m3 cavity proxy,cavity volume proxy,700.0,706.25,0.0,113,112
Case E,hem,HEM instantaneous equilibrium,equilibrium upper-side comparison,2.2,3.3229530999995274,0.025185841782841088,0.033186559468204445,684.2019393804975,97.63864185176455,97.63864185176455,kg vapor,vapor mass,700.0,700.0,0.02079176347201584,112,112
Case E,hne_tau050,HNE delayed relaxation tau=0.50 s,main comparison,2.2,3.3229530999995274,0.004559633694538552,0.00604873704302539,737.8358995939047,26.025906693505256,26.025906693505256,kg vapor,vapor mass,700.0,700.0,0.02079176347201584,112,112
Case E,dvcm_legacy,DVCM legacy cavity-volume proxy,legacy comparison only,2.2,3.3229530999995274,0.006040965301257864,0.008009955031821548,750.0,0.034495987136567256,0.034495987136567256,m3 cavity proxy,cavity volume proxy,700.0,700.0,0.0,112,112
Case A,hem,HEM instantaneous equilibrium,equilibrium upper-side comparison,2.05,2.6895813927385417,0.000863179219030869,0.0011464700908463525,747.6886765030133,0.6589148906641401,0.9544938991881717,kg vapor,vapor mass,50.0,50.0,0.04147335716637937,8,8
Case A,hne_tau050,HNE delayed relaxation tau=0.50 s,main comparison,2.05,2.689577433401556,0.00011221622860579629,0.00014908177834651283,749.6992942551882,0.3016099895466718,0.3016099895466718,kg vapor,vapor mass,168.75,168.75,0.062210228444507805,27,27
Case A,dvcm_legacy,DVCM legacy cavity-volume proxy,legacy comparison only,2.05,2.6895380539524143,0.00021336668233999618,0.00028345300615409473,750.0,0.0002328822503028031,0.0003373760038424953,m3 cavity proxy,cavity volume proxy,50.0,50.0,0.04147335716637937,8,8
